1957,,,,,,,,,,814,1378,1545
1958,1848,1514,1449,920,453,,537,208,565,1249,1200,1524
1961,1595,1654,1335,875,605,145,205,439,475,970,1345,1600
1962,1704,1770,1590,800,535,330,100,465,640,1040,1525,1770
1963,1670,1820,1275,1025,495,210,310,295,530,905,1035,1595
1964,1795,1465,1175,890,575,30,209,410,530,1035,1305,1470
1965,1770,,1460,845,285,540,60,375,525,884,1405,1365
1966,1779,1360,1390,1035,765,170,115,335,525,810,1440,1335
1967,1670,1595,1315,1004,670,-100,189,250,565,900,1420,1715
1968,1660,1500,1225,925,625,205,294,419,625,755,1415,1385
1969,1754,1475,1265,980,640,200,180,350,660,830,1370,1840
1970,1630,1780,1430,1060,550,180,360,335,700,955,1300,1395
1971,1425,1485,1385,770,530,45,315,440,750,1030,1355,1395
1972,1829,1700,1190,1035,540,160,209,305,635,755,1260,1720
1973,1600,1635,1435,845,555,330,-185,400,560,1000,1250,1610
1974,1465,1475,1390,965,,,190,340,555,1035,1155,1550
1975,1834,1504,1270,900,570,265,95,250,715,925,1100,1485
1976,1510,1700,1100,880,660,-20,184,375,665,934,1345,1450
1977,1585,1625,1460,1075,635,410,280,395,820,1150,1265,1675
1978,1700,1815,1390,1080,635,240,469,300,730,930,1330,1750
1979,1979,1829,1400,1075,660,325,344,515,525,930,1225,1679
1980,2000,1765,1545,685,535,240,175,475,780,989,1350,1635
1981,1670,1804,1475,1000,645,375,325,410,570,995,1330,1620
1982,1975,1640,1460,1125,845,-9,-40,485,705,870,,
1983,,1640,1506,,429,-150,125,319,455,1010,1490,1850
1984,1740,1520,1395,785,350,-414,-275,240,645,875,1190,1395
1985,1710,1545,1220,785,515,415,230,369,730,800,1450,1654
1986,1595,1440,1270,835,494,,320,355,570,1070,1180,1620
1987,1840,,1305,920,500,375,295,170,510,985,1445,1440
1988,1590,1995,1415,805,620,360,-65,285,640,825,1520,1720
1989,1980,2000,1560,1170,650,620,170,310,535,1020,1440,1585
1990,1670,1760,1130,635,365,130,54,300,420,985,1285,1560
1991,1750,,1360,840,640,410,540,,580,710,,
1992,,,,,130,,,,,1020,1280,1764
1993,1660,2188,1450,968,,241,24,537,,,,
1994,,1787,,939,,,180,,,1140,,1837
1995,1827,1779,1543,,697,450,,,610,1095,,2040
1996,,1615,1554,,,560,510,490,740,1060,1504,1770
1997,1727,1757,1570,1342,,320,418,314,386,721,1093,1412
1998,1604,1425,1156,896,727,297,370,,847,1420,,1773
1999,,2043,1587,1198,700,370,-243,552,893,1230,1598,1920
2000,1990,1770,,1040,421,330,-36,270,510,1000,1139,1460
2001,1916,2000,1693,,540,,560,487,917,,,1995
2002,2043,2040,1370,1010,,420,530,250,725,1070,1390,1800
2003,1850,,1679,1105,,0,430,500,756,1175,,
2004,2137,2117,1646,1048,275,698,,338,705,1100,,1850
2005,1705,2040,1180,895,543,360,500,320,730,975,1335,
2006,2020,1802,1375,960,460,290,,272,664,,,
2007,,2084,,,,,,,,,,
2010,,1535,,,,,,,,,,
2013,,,1179,,,,,,,,1437,1990
2014,,,,,,241,,,,,,
2015,,,,,667,316,265,448,429,720,1413,1658
2016,1937,1763,1497,723,506,205,26,419,611,964,1432,1753
2017,,1938,1415,916,495,210,181,,664,905,1320,1676
2018,1880,1897,1307,901,535,21,16,365,,,1222,1646
2019,1755,1768,1283,1076,515,303,170,312,512,891,1357,1698
2020,1925,1631,1659,984,554,174,-118,333,703,1004,1489,1659
2021,1828,1884,1575,1187,525,199,252,333,747,1095,1456,1867
2022,1820,1726,1245,808,295,0,59,256,810,1118,1812,1935
2023,1960,1750,1510,1050,558,350,310,340,505,890,1220,1630
2024,2020,1880,1360,850,250,285,50,365,685,1265,1300,1685
2025,2038,1785,1400,918,595,253,130,543,759,1054,1506,1768
2026,2077,1743,,,,,,,,,,
