1972,,,,,,,,,2640,2674,2725,2661
1973,2598,2580,2608,2584,2593,2536,2468,2494,2535,2486,2531,2411
1974,2378,2347,2361,2436,2381,2330,2238,2330,2371,2386,2350,2250
1975,2250,2214,2279,,2270,,,,2359,,,
1976,,2138,,2568,2593,,2522,2636,2655,2615,2599,2587
1977,2546,2532,2593,2569,2577,2560,2569,2736,2692,2687,2667,2593
1978,2557,2571,2580,2625,2632,2527,2591,2576,2672,2686,2691,2587
1979,,,,,,2491,2586,2666,,2716,,
1980,2602,2573,,2623,,,,2676,2742,2713,2628,2624
1981,2584,2661,2608,2689,2634,2592,2552,2663,2717,2678,2598,2590
1982,2539,,2604,2634,2602,2578,2582,2624,2594,2622,2632,2607
1983,2641,2643,2606,2703,2712,2656,2670,2650,2675,2624,2614,2570
1984,2558,2568,2576,2572,2603,2533,2525,2598,2606,2623,2624,2604
1985,2485,2491,2574,2545,2563,2488,2460,2624,2640,2586,2568,2501
1986,2532,2518,2508,2548,2590,2513,2557,2591,2563,2566,2590,2541
1987,2565,2587,2536,2601,2634,2615,2599,2603,2639,2641,2574,2617
1988,2599,2569,2583,2572,2582,2478,2470,2503,2682,2572,2590,2514
1989,2491,2486,2462,2510,2512,2504,2471,2555,2553,2552,2593,2452
1990,2537,2494,2532,2562,2572,2549,2534,2584,2559,2576,2573,2527
1991,2505,2546,2541,2542,2565,2537,2410,2482,2596,2555,2517,2471
1992,2471,2462,2520,2560,2540,2518,2463,2521,2538,2574,2507,2395
1993,2463,2400,2485,2466,2516,2455,2498,2556,2572,2536,2529,2475
1994,2423,2436,2423,2480,2504,2458,2410,2497,2584,2537,2524,2455
1995,2422,2360,2465,,2728,2764,2777,2898,2917,2872,2846,
1996,,,,,2781,,2718,2819,2868,2782,2745,2752
2005,,2676,,,,,,,,,,
2006,,,,,,2666,2722,2814,2846,2829,2740,2721
2007,2757,2602,2659,2728,2774,2698,,,2797,2754,2730,2685
2008,2586,2605,2629,2664,2651,2650,2677,2857,2834,2763,2717,2648
2009,2646,2566,2617,2588,2565,2582,2639,2720,2711,2659,2670,2559
2010,2570,2629,2636,2616,2680,2581,2624,2617,2720,2633,2592,2491
2011,,2443,2496,2509,2535,2535,2499,2643,,2565,2545,
