1995,,,,,,1198,1363,1317,,,,
1996,,,,,682,1129,1249,1312,979,,,
1997,,,,,629,1091,1275,1145,936,,,
1998,,,,,903,1141,1390,1262,1048,,,
2000,,-751,-64,201,668,1089,1325,1321,908,508,187,-647
2001,,,-336,,,1223,1250,1315,970,686,,-161
2002,,,-339,323,716,1096,1410,1396,1060,511,-72,-426
2003,-993,-869,-409,119,707,1171,1268,1245,1106,581,163,-460
2004,,-687,-210,240,664,1051,1288,1186,934,623,131,-670
2005,-1107,-610,-241,312,630,1174,1448,1317,1103,703,156,-478
2006,-507,-821,-80,422,847,1293,1375,1320,1023,659,371,
2007,,,,281,789,1141,1355,1229,964,778,31,
2008,,,,385,826,1100,1447,1374,1053,681,199,
2009,,,-313,366,726,1053,1291,1350,1024,509,342,-394
2010,,-147,34,509,927,1181,1420,1388,1016,681,,-182
2011,,,-297,,696,1113,1478,,1159,742,386,-266
2012,,,-11,389,921,1226,1490,,1083,627,122,-396
2013,-864,-653,-66,161,738,1009,1335,1224,921,689,58,-962
2014,-938,-760,-670,274,736,1278,1372,1430,1036,657,3,-416
2015,-1037,-1435,-508,230,826,1136,1286,1411,1186,545,230,-138
2016,-604,-722,-362,143,812,1205,1356,1385,1098,690,318,-559
2017,-598,-712,-537,234,761,1222,1366,1273,1088,823,-12,-784
2018,-956,-589,-147,52,740,1106,1420,1414,1042,369,-155,-579
2020,,,,,,,,,,532,180,-205
2021,-492,-573,-222,379,827,1240,,,,843,272,-464
2022,-1175,-910,-330,349,852,1192,1408,1410,1067,795,174,-214
2023,-539,-819,-96,354,854,1129,1526,1407,1222,958,67,-167
2024,-601,-463,-43,403,,,,,,,,
2025,-694,-764,-197,270,788,1219,1423,1341,1096,752,162,-626
2026,-808,-568,,,,,,,,,,
