1951,2040,2210,2480,2520,2280,2230,2070,2050,2090,2220,2070,1900
1952,2110,,,2470,2260,2220,2040,1980,2040,2160,2170,2060
1953,2110,2330,2470,2480,2270,2170,2050,2030,2130,2210,2180,2010
1954,2110,2360,2440,2380,2220,2150,1980,1950,2180,2140,2210,2050
1955,2070,2280,2470,2460,2330,2110,2030,2020,2030,2170,2130,1960
1956,1960,2320,2430,2420,2380,2180,1970,,,2070,2120,1970
1957,1960,2040,2380,2430,2270,2160,2080,2060,2130,2180,2280,2150
1958,2160,2140,2520,2430,2340,2150,2010,2010,2130,2260,2300,2190
1959,2070,2190,2450,2430,2290,2200,2080,1960,2080,2230,2220,2040
1960,2030,2200,2390,2350,2320,2190,2010,2070,2130,2240,2200,2210
1961,2110,2040,,,2420,2250,1980,1960,2090,2190,2110,1940
1962,1890,2180,,2390,2320,,2050,1980,2160,,2280,2170
1963,2140,2420,2370,2380,2320,2230,2080,2050,2070,2210,2110,2150
1964,2080,2220,2500,,,,2000,1940,2070,2170,2050,2090
1965,2170,2300,2390,2380,2360,2180,2060,2010,2130,2260,2180,2040
1966,2100,2170,2460,2400,2310,2230,2130,2030,,,,
1968,,,,2360,2270,2130,2030,2080,2150,2280,2270,2160
1969,1990,2370,2570,2470,2330,2220,2070,2040,2130,2230,2150,2170
1970,2110,2220,2410,2510,2360,2270,2080,2000,2080,2230,2150,2030
1971,1970,2270,2530,2470,2330,2190,2030,2000,2110,2220,2190,1990
1972,2110,2290,2460,2340,2220,2100,2070,2010,2100,2210,2100,2100
1973,2210,2390,2440,2480,2300,2200,2030,2010,2190,2330,2210,2200
1974,2130,2220,2460,2470,2260,2140,2010,2070,2110,2270,2170,1880
1975,1900,2280,2450,2370,2310,2110,2010,2010,2080,2230,2270,2030
1976,2070,,2410,2440,2300,2160,1990,2020,2130,2180,2130,2140
1977,2090,2180,2340,2590,2360,2210,2040,2030,2170,2230,2170,1960
1978,2040,2340,2440,2300,2260,2120,1930,2000,2060,2150,2100,1940
1979,1940,2200,,2420,,2220,2110,2070,2150,2260,2170,1880
1980,2070,2190,2400,2510,,,2090,,,,2120,1930
1998,,,,,,,2100,,2100,,,
1999,2060,2300,2500,2450,2400,,,,,,,
2000,,,2450,,,,,,,,,
