1963,-1420,-1437,-728,213,1007,1267,1395,1429,952,392,-624,-862
1975,-773,-446,-271,66,751,1086,1407,1279,876,293,-196,-810
1978,-1064,-1602,-587,-51,700,1355,1401,1196,716,208,-518,-1791
1990,-1009,-112,-87,340,842,1272,1491,1399,763,312,-400,-485
2008,-443,-393,-390,229,759,1304,1551,1202,742,304,-409,-695
2009,-790,-1345,-379,333,913,1171,1456,1425,989,50,57,-987
2011,-1048,-1160,-294,486,825,1433,1707,1410,1014,353,96,-470
2013,-1344,-687,-803,85,1086,1396,1500,1393,1007,327,-225,-312
2014,-966,-110,35,333,856,1219,1863,1461,894,330,-185,-766
2015,-746,-306,-6,301,704,1083,1347,1365,1008,316,-83,-520
2016,-1368,-661,-76,237,923,1348,1558,1237,1054,228,-323,-622
2017,-679,-601,-288,83,757,1194,1392,1267,949,344,-469,-715
2018,-934,-1125,-806,187,1206,1245,1942,1378,950,318,-291,-708
2019,-1172,-544,-377,,760,,1519,1489,786,161,-431,-469
2020,-190,-591,-217,227,566,1662,1326,1414,928,449,63,-163
2021,-1367,-994,-131,196,779,1473,1758,1321,823,443,-422,-1108
2022,-706,-846,-37,98,841,1506,1452,1490,863,410,-120,-1004
2023,-762,-625,-692,186,847,1473,1574,1465,1100,30,-729,-1081
2024,-1193,-722,-132,46,1175,1361,1589,1506,1039,451,-209,-721
2025,-830,-636,84,475,747,1276,1807,1345,1203,558,-324,-235
2026,-1170,-1433,157,390,879,,,,,,,
