1999,,,,,,,,1419,899,23,-987,-1533
2000,-1118,-445,-149,355,790,1434,1509,1301,785,49,-437,-852
2001,-422,,-126,316,740,1599,1507,1517,986,-204,-1039,-1605
2002,-719,-746,-547,11,977,1363,1620,1355,960,332,3,-706
2003,-966,,,334,902,1443,1695,1435,886,393,-866,-1294
2004,-1705,-438,-432,390,1104,1623,1822,1772,631,237,-413,-927
2005,-1120,-883,-7,407,1091,1593,1756,1554,970,124,-1124,-655
2006,,,,,,,,,999,204,-1267,
2007,,-1170,-1061,444,936,1478,1581,1574,984,72,-302,
2008,,-1048,-197,54,804,1252,1390,1394,895,-336,-881,
2009,,,-625,114,978,1348,1744,1316,907,396,-1016,-408
2010,-1034,-560,-392,183,971,,1390,,973,229,-643,-1747
2011,-1286,-1238,-533,227,865,1300,1507,1330,957,217,-1393,-1100
2012,-2240,-643,-776,369,763,1360,1415,1329,767,29,-1065,-1446
2013,-862,-533,-562,-220,719,1675,1745,1452,887,324,-881,-1456
2014,-445,-1011,-453,229,1060,1241,1567,1400,928,12,-383,-523
2015,-1204,-693,-357,323,1062,1548,1639,1496,721,362,-731,-1065
2016,-731,-367,-22,590,1143,1520,1781,1552,956,154,-576,-1237
2017,-1523,-975,-645,505,905,1408,1679,1408,960,159,-930,-748
2018,-1122,-1059,-328,302,810,1378,1685,1353,1141,471,-316,-821
2019,-1244,-941,113,345,939,1683,1869,1533,946,293,-173,-950
2020,-2286,-1073,-743,166,1067,1374,1677,1494,990,154,-951,-1000
2021,-998,-1401,-905,70,934,1441,1585,1405,763,200,-1085,
2023,-758,-961,-454,2,830,1296,1620,1503,839,172,-387,-1409
2024,-1474,-860,-202,296,784,1548,1469,1271,935,153,-827,-634
2025,-639,-685,32,367,897,1335,1645,1379,1040,381,-685,-1205
2026,-1380,-1000,-999,248,716,,,,,,,
