1990,,,,,,,,,,1298,710,161
1991,638,875,226,617,902,1423,2263,2062,2280,1642,875,531
1992,585,612,771,961,1748,1748,2033,2274,1875,1471,728,235
1993,,,,,,,1748,1991,1989,1435,715,426
1994,623,,,,,,2344,1958,1882,1217,198,
1995,,,,,,,,1947,1928,1402,1010,
1996,,,,,,,2355,2237,1724,1153,741,
1997,,,,,,,2182,2141,1870,1243,857,
1998,,,,,,,2413,,,1125,,
1999,,,,,,1580,1991,1902,2133,1580,705,589
2000,257,331,550,964,1051,1914,,,1833,1141,511,671
2001,400,237,753,579,1644,1498,2101,2163,,,667,169
2002,331,785,,,1179,,2337,2175,,1431,,
2003,,,611,340,1142,1907,2337,2086,2113,1569,360,
2004,,,,,,1709,2243,2151,1755,1132,698,579
2005,486,560,743,640,1070,1232,2330,2301,1706,1168,743,472
2006,261,568,168,701,1361,1865,2340,2111,1888,1327,500,460
2007,406,370,888,846,1419,1571,2172,2123,1659,998,962,149
2008,155,543,480,636,1247,1646,2122,2109,2083,1342,910,290
2009,715,296,386,745,1406,1577,2301,2115,1978,1070,631,271
2010,523,525,479,498,752,1437,2304,2074,1848,1274,545,
2011,696,349,310,510,777,1433,1954,2178,2134,1262,493,602
2012,548,411,330,803,1288,1392,2047,2357,2159,1347,701,149
2013,456,493,728,946,1232,1748,2415,2097,1606,1296,847,612
2014,886,467,692,990,1305,1764,2461,2254,1977,1379,822,381
2015,913,926,996,905,1288,2101,2192,2098,1863,1645,513,162
2016,255,830,605,1081,1362,1812,2186,2412,1853,962,675,191
2017,264,320,631,627,1374,1798,2364,2456,1757,1334,554,735
2018,512,432,438,793,1370,1707,2427,2218,1765,1365,948,307
2019,509,-56,449,949,1218,1780,1999,2209,1560,1162,1039,
2020,307,661,462,980,1216,1605,2188,2316,2065,1682,697,471
2021,374,400,473,1110,1375,1948,2495,2234,1913,1020,875,266
2022,660,752,744,561,941,1621,2266,2328,1922,1706,505,287
2023,225,250,126,718,1327,1697,2276,2178,1629,1320,741,549
2024,381,300,430,822,1301,1849,2567,2045,1985,1449,462,554
2025,641,373,464,1055,1337,1912,2230,2280,1944,1104,942,814
2026,819,606,1189,861,,,,,,,,
