1992,,,,,,,,,,1452,500,-421
1993,-629,-463,764,1334,2095,,2438,,,,-312,-336
1994,-1045,-1033,316,748,1414,1775,2069,2130,1732,,,
1995,,,,,,,,,,631,-166,-790
1996,-1463,-525,-628,471,831,1793,1991,2214,1252,587,-750,-1165
1997,,-352,-1,276,1078,1933,,,,,,
2000,-584,-293,290,585,1250,1557,2144,2097,1458,841,-423,-1022
2001,-195,-833,188,687,1292,1570,,,,,,
2003,,,,,,,,,,,1074,2174
2004,1812,,1403,966,597,408,425,323,514,2760,,3573
2005,,,,2208,1607,1021,1106,1068,976,1469,2272,
2006,3938,,,1568,1368,-1339,-6560,-6560,-6339,-3278,6,
2007,,,,-30,45,30,8,16,16,1084,0,0
2008,0,0,731,,,,,,,,909,
2009,,,,,,,,,,,1214,0
2010,0,0,858,1440,,,,,,,,
2011,0,0,0,,,,,,,,,
