1973,695,1024,,,,,2764,2643,2501,2076,1750,996
1974,926,1226,1823,,2408,2433,2727,,2120,1931,1306,905
1975,1120,1084,1346,1853,2248,2581,2666,,2238,1916,1415,996
1976,,1482,1718,,2132,2556,2751,2717,,,982,898
1977,386,1139,1556,1887,2369,,2839,2792,2712,2069,1627,
1978,320,597,1337,2024,2366,2724,2977,,2608,1988,1571,1031
1979,,,,,,2642,,2760,,,,
1980,1009,1104,,,,2691,2965,,2752,1812,1256,1090
1981,829,1035,1470,2174,2154,2666,2791,,,,,
1983,,,,,,2503,2761,2796,,1970,,
1984,,1122,1428,1867,2277,2637,,,2219,,1283,
1985,,,,2079,,,,,,2079,,
1988,,,,,,,,,,,,969
1989,1065,818,1333,1866,,,,,,,,
1991,,,1714,2171,2494,2813,2991,2853,2524,2183,1173,1149
1992,878,1364,1637,1954,2254,2726,2930,2710,2511,2094,1197,1035
1993,835,1050,1370,1732,2214,2694,3000,3014,2583,1865,1156,1044
1994,847,1150,1600,2078,2230,2814,2863,2805,2513,1989,1527,1017
1995,956,1216,1480,1854,2311,2647,2860,2947,2487,1970,1345,968
1996,837,1221,1250,1866,2542,2742,2938,2747,2424,1984,1373,1184
1997,831,1122,1703,1700,2232,2634,3009,2851,2707,2009,1221,881
1998,1157,1218,1459,1931,2634,2921,3188,2917,2749,2040,1427,946
1999,1054,1364,1318,1940,2190,2657,2800,2952,2402,1828,1485,970
2000,990,1421,1644,1740,2389,2579,2859,3017,2509,1986,1095,
2001,607,1132,1162,2037,2313,2550,2854,2752,2316,1707,1478,990
2002,885,769,1258,2035,2276,2593,2839,2845,2566,1836,1152,897
2003,747,864,1376,1899,2438,2597,2836,2876,2416,2041,1564,910
2004,915,760,1693,1847,2335,2576,2763,2655,2483,2286,1443,911
2005,1031,1179,1414,1751,2198,2738,2794,2891,2707,1882,1525,844
2006,1192,875,1575,2125,2356,2651,2934,3010,2431,1875,1369,994
2007,667,939,1716,1669,2289,2639,2632,2887,2608,2015,1469,1046
2008,737,1148,1514,1812,2254,2747,2884,2783,2303,1832,1314,898
2009,868,1255,1447,1756,2275,2760,2879,2788,2407,1745,1475,697
2010,669,597,1234,1909,2525,2903,2890,3078,2688,1966,1420,939
2011,686,1043,1606,2199,2316,3001,3203,3313,2596,1965,1465,922
2012,1127,1202,1884,2102,2447,2783,2936,2901,2538,1886,1402,1113
2013,948,1106,1314,1751,2227,2778,2809,2966,2716,1968,1146,816
2014,685,872,1212,1778,2215,2671,2687,2818,2606,2077,1121,1034
2015,733,799,1383,2000,2350,2747,3050,2908,2691,2121,1477,1220
2016,817,1194,1626,1911,2186,2709,2960,2830,2599,2178,1644,1108
2017,1226,1572,1729,2011,2201,2644,2887,2735,2523,1988,1610,908
2018,632,1220,1671,1653,2571,2903,2989,2938,2617,1998,1115,952
2019,833,1113,1320,1847,2382,2611,2826,3018,2860,1847,1195,1005
2020,1033,988,1753,1775,2239,2681,2866,2859,2445,1825,1513,929
2021,843,614,1477,1704,2147,2673,2728,2796,2493,2179,1332,
2022,797,821,1408,1985,2481,2902,3093,2927,2512,1892,1288,1071
2023,1123,1292,1631,1750,2337,2768,2984,3208,2709,2010,1385,1070
2024,710,1444,1660,2035,2474,2775,2775,2946,2534,2198,1652,1220
2025,618,1121,1705,2099,2318,2724,2886,2853,2567,2130,1642,1147
2026,831,1469,1940,,,,,,,,,
