2002,,,,,,1833,1300,,,,,
2003,2069,,2047,2108,,,,,,,,
2004,,,,,,,,,,1802,2058,2047
2005,2171,2299,2157,1824,1765,1476,,1488,1626,1746,1855,2004
2006,2237,,2273,2391,1964,2072,1687,1586,1669,1795,1895,
2007,,,,,,1726,2016,1433,1697,1757,1908,1955
2008,2090,2315,2382,2343,1794,,1694,1644,1555,1744,1852,
2009,2114,,2170,2251,1633,,2118,1414,1635,1698,1921,1931
2010,1937,2056,2323,1760,2084,2013,1711,1846,1730,1755,1892,1989
2011,,2261,2283,2012,1748,1621,1824,1338,1487,1559,1751,
2012,2101,2096,,,1986,1763,1668,1421,1516,1673,1857,2013
2013,,1859,1828,1777,,1530,1531,1506,1558,1761,1847,
2014,2100,2060,2045,2330,1915,1835,1485,1475,1710,1680,1620,1890
2015,1840,2025,1890,1835,1740,1490,1420,1470,1490,1490,1825,2000
2016,2245,2245,1834,2071,1865,1696,1676,,1543,1578,1658,1862
2017,1982,1874,2273,1989,2122,1568,1545,1270,,1494,1768,1775
2018,,1894,1836,1822,1698,1770,,,,1790,1784,1894
2019,1939,2025,,1546,1668,1953,1989,,1601,1748,1853,1904
2020,1985,1975,,1800,,2067,2104,1604,1429,,,
2021,2086,1884,1962,2486,2069,1880,1740,1392,,1650,1785,1900
2022,2080,2295,2030,1895,1865,2145,1670,1460,1585,1735,1895,2010
2023,2075,2050,1945,2090,1520,1395,1775,1600,1560,1705,1970,1970
2024,2145,2150,2175,1915,2320,1945,1385,1475,1585,1755,1850,1965
2025,1908,2130,2170,1794,2295,1840,1490,,,,,
